outlet_id,name,address,X,Y,distance_to_network,network_node
134,Beyond Pancakes,6 RAFFLES BOULEVARD #03-131A MARINA SQUARE 039594,30811.1659309082,30472.3321676366,64.5117020882565,"(30855.0, 30425.0)"
135,Big Fish Small Fish,200 Victoria Street #04-05 Bugis Junction 188021,30458.7085178969,31274.8305191435,64.71527742644193,"(30500.0, 31225.0)"
136,Big Fish Small Fish,2 TAMPINES CENTRAL 5 #02-06 CENTURY SQUARE 529509,40296.7094797157,37163.8108075112,70.52177716804108,"(40350.0, 37210.0)"
137,BIG FISH SMALL FISH CAFE,17 PETIR ROAD #01-27/35/36/37/38/39 HILLION MALL 678278,20156.924196275,40045.5291034393,106.86963818115339,"(20245.0, 39985.0)"
138,BIG FISH SMALL FISH CAFE,3 TEMASEK BOULEVARD #02-606/607 SUNTEC CITY MALL 038983,31006.546098751,30804.5639691036,202.13464337698068,"(30815.0, 30740.0)"
139,BatterCatch,181 ORCHARD ROAD #04-30 ORCHARD CENTRAL 238896,28680.6729301102,31465.6765127573,60.15695109546979,"(28640.0, 31510.0)"
140,BatterCatch,1 HARBOURFRONT WALK #01-171/172/173/174 VIVOCITY 098585,26748.4993302505,27426.9234353155,202.7528877441688,"(26610.0, 27575.0)"
141,BOUNCE TEOCHEW FISHBALL NOODLES (MR7)@FOOD JUNCTION CENTURY SQUARE,"2 TAMPINES CENTRAL 5 #03-19 CENTURY SQUARE, MR7 529509",40296.7094797157,37163.8108075112,70.52177716804108,"(40350.0, 37210.0)"
144,Ban Mian & Fish Soup (S3) @ My Kampung Kallang Wave Mall,"1 STADIUM PLACE #02-16/k6, Stall 3 397628",32432.8422906362,31712.9829503335,229.67780300212252,"(32645.0, 31625.0)"
145,BURGER KING,460 ALEXANDRA ROAD #01-17/20 ALEXANDRA RETAIL CENTER 119963,24447.647553565,28514.458416285,64.00682290115688,"(24510.0, 28500.0)"
146,BURGER KING,339 ANCHORVALE ROAD #01-03 540339,34133.9829132929,42075.8777559884,97.90369572385146,"(34060.0, 42140.0)"
147,BURGER KING,1 JELEBU ROAD #01-28/29 BUKIT PANJANG PLAZA 677743,20325.461808118,40210.2194124069,95.37592907559548,"(20320.0, 40115.0)"
148,BURGER KING,175 BENCOOLEN STREET #01-01 BURLINGTON SQUARE 189649,30157.000343537,31620.9711250234,53.76322319707882,"(30210.0, 31630.0)"
152,BURGER KING,5 CHANGI BUSINESS PARK CENTRAL 1 #01-30/31 CHANGI CITY POINT 486038,42426.1948593352,35142.0820227042,175.74132141315383,"(42505.0, 34985.0)"
153,BURGER KING,6 EU TONG SEN STREET #01-23/26 059817,29500.0764650786,30142.6395473219,35.74934929043871,"(29535.0, 30135.0)"
154,BURGER KING,3155 3155 COMMONWEALTH AVENUE WEST #B1-30/31 THE CLEMENTI MALL 129588,20315.6081870906,33027.9409066252,135.7417021999657,"(20375.0, 33150.0)"
155,BURGER KING,902 EAST COAST PARKWAY (Block D) #01-01/01A AQUATIC COMPLEX (BIG SPLASH) 449874,35386.8780942475,31030.4158241935,74.59483543146467,"(35360.0, 31100.0)"
156,BURGER KING,1 SENGKANG SQUARE #B1-14/14A COMPASS ONE 545078,34872.1834410084,41551.7693360616,97.7961796509418,"(34830.0, 41640.0)"
157,BURGER KING,3 SIMEI STREET 6 #01-33 EASTPOINT MALL 528833,41321.990633836,36095.4413322229,189.13675414034847,"(41240.0, 35925.0)"
158,BURGER KING,1 JOO KOON CIRCLE #01-49/50 FAIRPRICE HUB 629117,10760.1903017079,34206.1238678284,150.78717871566346,"(10850.0, 34085.0)"
159,BURGER KING,601 MACPHERSON ROAD #01-19 368242,34057.197366924,35105.0894615799,50.36781250344394,"(34080.0, 35150.0)"
160,BURGER KING,11 Bedok North Street 1 #01-33 469662,38960.6737470664,34317.0640491676,108.96398700891751,"(38890.0, 34400.0)"
